nome_jogo,preco,enviado_por,vendido_por,idioma,numero_modelo,fabricante
Jogo De Bingo Profissional Cromado Nº 1 Com 75 Pedras - 300 Cartelas,"R$ 197,90 com 7 por cento de desconto",Amazon,Store Rs,‎Português,,‎Store Rs
JOGO PERFIL EXPRESS - MARVEL - Grow,"R$ 38,99 com 34 por cento de desconto",Amazon.com.br,Amazon.com.br,‎Português,‎4738,‎GROW
Jogo Rummikub Joy Palavras - Grow,"R$ 97,99 com 17 por cento de desconto",Amazon.com.br,Amazon.com.br,‎Português,‎4684,‎GROW
Jogo Xadrez 3 em 1 Magnético com Damas Gamão Tabuleiro Dobrável Estilo Estojo Clássico Profissional Grande Luxo Peças Resina de Alto Impacto Recreação Estratégia Tamanho Extra Grande 39x39 cm,"R$ 161,91 com 10 por cento de desconto",Amazon,Wolf Eletro,‎Português,,‎HM Presentes
Kit de Jogo Emboscada Didático com 50 Desafios de Raciocínio Lógico e Diversão em Família,"R$ 53,05",Amazon,G&D Market Place,‎Português,,‎Brasil
Jogo Viagem Espacial,"R$ 46,99 com 17 por cento de desconto",Amazon.com.br,Amazon.com.br,‎Português,‎1000,‎Grow
"Jogo de Dardos, acerte o alvo com flechas","R$ 47,00",Amazon,Spike Outlet,,,‎China
JOGO ENIGMA DO LABIRINTO - Grow,"R$ 71,06 com 15 por cento de desconto",Amazon.com.br,Amazon.com.br,‎Português,‎4617,‎GROW
Jogo Xadrez Dama Gamão Madeira Tabuleiro 3 Em 1 40x40,"R$ 109,39",Amazon,Navegue,,,‎Não informado
Jogo de dominó tradicional com Estojo - 28 Peças,"R$ 36,00",Amazon,Spike Outlet,,,‎China
Jogo Viagem pela História,"R$ 45,99 com 15 por cento de desconto",Amazon.com.br,Amazon.com.br,,‎4366,‎Grow
"Jogo Imagem e Ação Maluco, Grow","R$ 94,99 com 31 por cento de desconto",Amazon.com.br,Amazon.com.br,‎Português,‎4694,‎GROW
